Year,Life_science
2027,1
2026,79674
2025,230701
2024,187112
2023,161430
2022,159042
2021,154855
2020,128962
2019,106109
2018,99186
2017,90694
2016,87221
2015,83646
2014,81487
2013,77785
2012,75051
2011,66993
2010,63990
2009,59377
2008,54374
2007,50173
2006,47873
2005,44335
2004,42174
2003,40754
2002,36608
2001,29585
2000,28996
1999,25150
1998,23315
1997,21222
1996,19817
1995,17701
1994,16599
1993,15340
1992,13665
1991,12729
1990,11732
1989,10095
1988,9812
1987,7945
1986,6530
1985,5713
1984,5531
1983,4742
1982,4323
1981,3982
1980,3923
1979,3675
1978,3189
1977,3338
1976,3463
1975,3202
1974,2815
1973,2443
1972,1755
1971,1556
1970,1424
1969,1308
1968,1183
1967,1123
1966,1014
1965,1006
1964,870
1963,706
1962,193
1961,170
1960,154
1959,137
1958,112
1957,135
1956,115
1955,117
1954,101
1953,93
1952,89
1951,90
1950,101
1949,77
1948,74
1947,58
1946,44
1945,37
1944,44
1943,33
1942,55
1941,36
1940,50
1939,59
1938,86
1937,61
1936,52
1935,57
1934,54
1933,60
1932,56
1931,55
1930,66
1929,44
1928,41
1927,35
1926,33
1925,42
1924,46
1923,45
1922,27
1921,36
1920,28
1919,20
1918,16
1917,22
1916,31
1915,21
1914,20
1913,18
1912,18
1911,17
1910,18
1909,12
1908,15
1907,12
1906,14
1905,14
1904,10
1903,12
1902,7
1901,10
1900,6
1899,6
1898,3
1897,3
1896,7
1895,5
1894,6
1893,9
1892,3
1890,5
1889,2
1888,5
1887,3
1886,6
1885,1
1884,12
1883,4
1882,7
1881,1
1880,7
1879,6
1878,4
1877,2
1876,1
1874,1
1870,3
1866,1
1865,1
1862,4
1860,1
1859,2
1857,2